"Endpoint Name","Site","Last Logged In User","OS Username","Group","Tags","Domain","Account","Console Visible IP","Agent Version","Serial Number","Subscribed On","Device Type","Model Name","OS","OS Version","Architecture","Memory","CPU Count","CPU Type","Core Count","Management Connectivity","Network Status","Update Status","Scan Status","Last Reported IP","Pending Uninstall","Disk Encryption","Agent UUID","Agent ID","Customer Identifier","Console Migration Status","Operational State","Operational State Expiration","Last Reboot Date","Installer Type","Reboot Required due to Threat","User Action Required","Remote Profiling State","Remote Profiling Expiration","Storage Type","Storage Name","Cloud Account","Cloud Location","Cloud Network","Cloud Image","Cloud Tags","Cloud Instance Size","Cloud Instance ID","Cloud Security Group","Cluster Name","K8s Type","K8s Version","Agent Namespace","Agent Pod Name","K8s Node Name","K8s Node Labels","ECS Type","ECS Version","ECS Cluster Name","ECS Task Arn","ECS Task Availability Zone","ECS Service Name","ECS Service Arn","ECS Task Definition Family","ECS Task Definition Revision","ECS Task Definition Arn","Is Uninstalled","Decommissioned at","Missing Permissions"
"shomapgrfgru01","Default site","N/A","root","SERVIDORES LINUX","None","unknown","GRUPO INVEPAR","200.174.72.155","23.4.2.14","N/A","Aug 30, 2024 02:14:03 PM","server","VMware, Inc. VMware Virtual Platform","Linux","Linux,Ubuntu 22.04.4 LTS 5.15.0-76-generic","64 bit","4 GB",10,"Intel(R) Xeon(R) CPU E5-2620 v2 @ 2.10GHz",10,"Online","Connected","Out of date","Completed( Aug 30, 2024 03:53:49 PM )","10.36.52.135","No","Off","f05e56fd-7495-1ab2-4159-e10eff45ab1f",2028352353441064655,"N/A","N/A","Not disabled","N/A","Jan 03, 2024 07:41:52 PM","DEB","No","No","disabled","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","No","N/A","N/A"
"shomapgrfgru01","Default site","N/A","root","SERVIDORES LINUX","None","unknown","GRUPO INVEPAR","177.130.117.155","23.2.2.4","N/A","Aug 30, 2024 02:12:31 PM","server","VMware, Inc. VMware Virtual Platform","Linux","Linux,Ubuntu 22.04.4 LTS 5.15.0-79-generic","64 bit","4 GB",10,"Intel(R) Xeon(R) CPU E5-2620 v2 @ 2.10GHz",10,"Offline","Connected","Up to date","Aborted( Aug 30, 2024 02:17:51 PM )","10.36.52.137","No","Off","918d0ec7-4549-4645-0553-72f085fa77d6",2028351583374976253,"N/A","N/A","Not disabled","N/A","Jan 03, 2024 07:32:13 PM","DEB","No","No","disabled","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","No","N/A","N/A"
"shomdbdotrsgru02","Default site","N/A","root","SERVIDORES LINUX","None","unknown","GRUPO INVEPAR","177.130.117.155","23.4.2.14","N/A","Aug 30, 2024 01:45:44 PM","server","VMware, Inc. VMware Virtual Platform","Linux","Linux,Ubuntu 20.04.6 LTS 5.4.0-190-generic","64 bit","12 GB",8,"Intel(R) Xeon(R) CPU E5-2620 v2 @ 2.10GHz",8,"Online","Connected","Out of date","Completed( Aug 30, 2024 02:50:23 PM )","10.36.52.126","No","Off","f07704dd-24b5-8a68-7a89-77cdf096c92e",2028338103313432794,"N/A","N/A","Not disabled","N/A","Aug 06, 2024 03:44:38 PM","DEB","No","No","disabled","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","No","N/A","N/A"
"SHOMBDOTRSGRU01.GRU.LOCAL","Default site","N/A","root","SERVIDORES LINUX","None","GRU.LOCAL","GRUPO INVEPAR","177.130.117.155","23.2.2.4","N/A","Aug 30, 2024 12:24:46 PM","server","VMware, Inc. VMware Virtual Platform","Linux","Linux,Ubuntu 20.04.6 LTS 5.4.0-190-generic","64 bit","23 GB",2,"Intel(R) Xeon(R) CPU E5-2620 v2 @ 2.10GHz",8,"Online","Connected","Out of date","Completed( Aug 30, 2024 01:52:15 PM )","10.36.52.128","No","Off","8fe72058-feea-999c-3074-d5722e0fd044",2028297357365732829,"N/A","N/A","Not disabled","N/A","Jul 25, 2024 08:36:42 PM","DEB","No","No","disabled","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","No","N/A","N/A"
"localhost.localdomain","Default site","N/A","root","SERVIDORES LINUX","None","unknown","GRUPO INVEPAR","200.174.72.155","24.1.1.16","N/A","Aug 30, 2024 12:11:26 PM","server","VMware, Inc. VMware Virtual Platform","Linux","Linux,Red Hat Enterprise Server release 6.6 (Santiago) 2.6.32-504.el6.x86_64","64 bit","4 GB",2,"Intel(R) Xeon(R) CPU E5-2620 v2 @ 2.10GHz",2,"Offline","Connected","Up to date","Completed( Aug 30, 2024 12:53:52 PM )","10.36.52.140","No","Off","f052c8a8-52f3-bad7-b1f5-626279697825",2028290641259741285,"N/A","N/A","Not disabled","N/A","Sep 05, 2024 02:24:03 PM","RPM","No","No","disabled","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","No","N/A","N/A"
"SHOMAPRMAGRU04","Default site","N/A","root","SERVIDORES LINUX","None","unknown","GRUPO INVEPAR","200.174.72.155","23.4.2.14","N/A","Aug 30, 2024 12:01:19 PM","server","VMware, Inc. VMware Virtual Platform","Linux","Linux,Ubuntu 22.04.4 LTS 5.15.0-122-generic","64 bit","3 GB",2,"Intel(R) Xeon(R) CPU E5-2620 v2 @ 2.10GHz",2,"Offline","Connected","Up to date","Completed( Aug 30, 2024 01:43:05 PM )","10.36.52.152","No","Off","f0cdf43f-db38-7e2e-a2e1-89f13f38603d",2028285552468543973,"N/A","N/A","Not disabled","N/A","Oct 11, 2024 06:05:13 PM","DEB","No","No","disabled","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","No","N/A","N/A"
"shomapglpigru02","Default site","N/A","root","SERVIDORES LINUX","None","unknown","GRUPO INVEPAR","177.130.117.155","23.4.2.14","N/A","Aug 29, 2024 08:05:20 PM","server","VMware, Inc. VMware Virtual Platform","Linux","Linux,Ubuntu 22.04.5 LTS 5.15.0-107-generic","64 bit","16 GB",8,"Intel(R) Xeon(R) CPU E5-2620 v2 @ 2.10GHz",8,"Online","Connected","Out of date","Completed( Aug 29, 2024 09:22:55 PM )","10.36.52.118","No","Off","f0835880-88d6-9812-a95e-839715c59dcb",2027804385389972968,"N/A","N/A","Not disabled","N/A","May 17, 2024 11:21:39 PM","DEB","No","No","disabled","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","No","N/A","N/A"
"shomapglpigru01","Default site","N/A","root","SERVIDORES LINUX","None","unknown","GRUPO INVEPAR","177.130.117.155","23.4.2.14","N/A","Aug 29, 2024 08:05:11 PM","server","VMware, Inc. VMware Virtual Platform","Linux","Linux,Ubuntu 22.04.5 LTS 5.15.0-107-generic","64 bit","8 GB",4,"Intel(R) Xeon(R) CPU E5-2620 v2 @ 2.10GHz",4,"Online","Connected","Out of date","Completed( Aug 29, 2024 09:26:05 PM )","10.36.52.117","No","Off","f0829201-910b-f123-d9f6-c6e28d17ba23",2027804316519471691,"N/A","N/A","Not disabled","N/A","May 17, 2024 11:19:54 PM","DEB","No","No","disabled","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","No","N/A","N/A"
"sprdbdoragru12","Default site","N/A","root","SERVIDORES BANCO DE DADOS","None","unknown","GRUPO INVEPAR","177.130.117.155","24.1.1.16","N/A","Aug 29, 2024 07:44:09 PM","server","Dell Inc. PowerEdge M620","Linux","Linux,Red Hat Enterprise Server release 7.9 (Maipo) 3.10.0-1160.119.1.el7.x86_64","64 bit","189 GB",2,"Intel(R) Xeon(R) CPU E5-2660 v2 @ 2.20GHz",40,"Online","Connected","Up to date","Completed( Aug 29, 2024 09:50:14 PM )","172.31.49.70","No","Off","f0e1ae23-b934-3840-a831-cb2c8807004a",2027793723163227390,"N/A","N/A","Not disabled","N/A","Oct 04, 2024 08:41:13 PM","RPM","No","No","disabled","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","No","N/A","N/A"
"SDESAPNWGRU01","Default site","N/A","root","SERVIDORES LINUX","None","unknown","GRUPO INVEPAR","177.130.117.155","23.2.2.4","N/A","Aug 29, 2024 03:44:41 PM","server","VMware, Inc. VMware Virtual Platform","Linux","Linux,Red Hat Enterprise Server release 6.5 (Santiago) 2.6.32-431.el6.x86_64","64 bit","31 GB",1,"Intel(R) Xeon(R) CPU E5-4640 0 @ 2.40GHz",4,"Online","Connected","Up to date","Completed( Aug 29, 2024 05:23:57 PM )","172.31.52.122","No","Off","8eddaf76-8a4f-37f6-433a-4e266be808c6",2027673196107280847,"N/A","N/A","Not disabled","N/A","Aug 29, 2024 03:14:42 PM","RPM","No","No","disabled","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","No","N/A","N/A"
"SPRDAPDIPGRU01","Default site","N/A","root","SERVIDORES LINUX","None","unknown","GRUPO INVEPAR","177.130.117.155","24.1.1.16","N/A","Aug 29, 2024 03:28:46 PM","server","VMware, Inc. VMware20,1","Linux","Linux,Oracle Server release 9.4 5.14.0-427.33.1.el9_4.x86_64","64 bit","15 GB",2,"Intel(R) Xeon(R) Gold 6348 CPU @ 2.60GHz",4,"Online","Connected","Up to date","Aborted( Sep 02, 2024 06:39:33 PM )","192.168.40.136","No","Off","efc09278-285e-9d28-12d5-a403ff887420",2027665186099235623,"N/A","N/A","Not disabled","N/A","Sep 06, 2024 01:33:24 PM","RPM","No","No","disabled","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","No","N/A","N/A"
"spbdoragru11.gru.local","Default site","N/A","root","SERVIDORES LINUX","ACN : SAP, Impacto : A-Catastrófico","unknown","GRUPO INVEPAR","200.174.72.155","24.1.1.16","N/A","Aug 29, 2024 03:15:21 PM","server","Dell Inc. PowerEdge M620","Linux","Linux,Red Hat Enterprise Server release 6.6 (Santiago) 2.6.32-504.1.3.el6.x86_64","64 bit","252 GB",2,"Intel(R) Xeon(R) CPU E5-2660 v2 @ 2.20GHz",40,"Online","Connected","Up to date","Completed( Aug 29, 2024 05:32:13 PM )","172.31.49.163","No","Off","f09d9ac4-f6a2-40d1-3f22-9343cbd3744e",2027658438082301955,"N/A","N/A","Not disabled","N/A","Sep 01, 2024 06:10:49 AM","RPM","No","No","disabled","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","No","N/A","N/A"
"sprdapbigru02","Default site","N/A","root","SERVIDORES LINUX","None","unknown","GRUPO INVEPAR","177.130.117.155","24.1.1.16","N/A","Aug 28, 2024 02:04:09 PM","server","Dell Inc. PowerEdge M620","Linux","Linux,Red Hat Enterprise Server release 6.6 (Santiago) 2.6.32-504.8.1.el6.x86_64","64 bit","31 GB",1,"Intel(R) Xeon(R) CPU E5-2630 v2 @ 2.60GHz",2,"Online","Connected","Up to date","Completed( Aug 28, 2024 07:27:23 PM )","172.31.49.169","No","Off","efeed8ed-b9f8-dd38-c284-419f6faa3021",2026897826428887204,"N/A","N/A","Not disabled","N/A","Feb 03, 2024 12:06:45 PM","RPM","No","No","disabled","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","No","N/A","N/A"
"sdevapecgru01","Default site","N/A","root","SERVIDORES LINUX","None","unknown","GRUPO INVEPAR","177.130.117.155","23.2.2.4","N/A","Aug 26, 2024 08:32:32 PM","server","VMware, Inc. VMware Virtual Platform","Linux","Linux,Red Hat Enterprise Server release 6.5 (Santiago) 2.6.32-431.el6.x86_64","64 bit","16 GB",1,"Intel(R) Xeon(R) CPU E5-2660 v2 @ 2.20GHz",2,"Offline","Connected","Up to date","Completed( Aug 26, 2024 10:28:29 PM )","172.31.52.103","No","Off","8edeea48-6dbe-be23-f883-d6463df83680",2025643750816708431,"N/A","N/A","Not disabled","N/A","Oct 17, 2023 01:41:37 PM","RPM","No","No","disabled","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","No","N/A","N/A"
"SPRDAPRMAGRU05.GRU.LOCAL","Default site","N/A","root","SERVIDORES LINUX","None","GRU.LOCAL","GRUPO INVEPAR","200.174.72.155","23.2.2.4","N/A","Aug 26, 2024 08:30:41 PM","server","VMware, Inc. VMware Virtual Platform","Linux","Linux,Ubuntu 20.04.1 LTS 5.4.0-120-generic","64 bit","4 GB",2,"Intel(R) Xeon(R) CPU E5-4620 v2 @ 2.60GHz",2,"Online","Connected","Up to date","Completed( Aug 26, 2024 11:09:20 PM )","172.31.50.145","No","Off","95ebe468-7c11-985b-ede1-3eb070fe23f3",2025642817944456863,"N/A","N/A","Not disabled","N/A","Aug 23, 2023 05:36:29 AM","DEB","No","No","disabled","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","No","N/A","N/A"
